City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,faanui,-16.4833,-151.75,301.02,71,46,3.1,PF,1680554617
85,nouakchott,18.0858,-15.9785,303.11,41,12,7.41,MR,1680554556
86,padang,-0.9492,100.3543,297.87,87,100,1.23,ID,1680554617
87,kalmunai,7.4167,81.8167,298.66,84,0,2.54,LK,1680554617
88,altamont,42.2068,-121.7372,275.87,54,75,8.23,US,1680554617
89,cayenne,4.9333,-52.3333,301.17,65,20,5.14,GF,1680554412
90,hobart,-42.8794,147.3294,284.29,91,75,2.06,AU,1680554617
91,vardo,70.3705,31.1107,271.14,80,100,13.89,NO,1680554617
92,lavrentiya,65.5833,-171.0,258.27,85,96,3.57,RU,1680554617
93,sovetskaya gavan,48.9723,140.2878,275.18,88,100,3.14,RU,1680554618
94,sept-iles,50.2001,-66.3821,272.62,60,75,6.17,CA,1680554403
95,port blair,11.6667,92.75,300.17,78,20,1.03,IN,1680554618
96,mount gambier,-37.8333,140.7667,283.22,95,100,1.32,AU,1680554618
97,killybegs,54.6333,-8.45,282.18,84,100,7.3,IE,1680554618
98,garowe,8.4054,48.4845,298.92,66,69,6.53,SO,1680554618
99,coos bay,43.3665,-124.2179,280.5,87,100,2.57,US,1680554442
100,fort-shevchenko,44.5086,50.263,281.44,83,64,1.42,KZ,1680554618
101,doha,25.2867,51.5333,294.14,50,0,6.17,QA,1680554506
102,bageshwar,29.85,79.7667,285.76,69,86,1.76,IN,1680554619
103,kalangala,-0.3089,32.225,291.79,85,89,8.26,UG,1680554619
104,narsaq,60.9167,-46.05,281.27,80,100,3.18,GL,1680554619
105,mabaruma,8.2,-59.7833,300.63,66,64,3.43,GY,1680554619
106,vao,-22.6667,167.4833,298.75,83,63,4.76,NC,1680554619
107,lakatoro,-16.0999,167.4164,301.4,76,76,3.96,VU,1680554619
108,yamoussoukro,6.8206,-5.2767,301.09,78,0,1.03,CI,1680554620
109,atuona,-9.8,-139.0333,299.77,83,94,7.2,PF,1680554620
110,storsteinnes,69.2408,19.2344,275.51,99,100,2.35,NO,1680554620
111,ponta do sol,32.6667,-17.1,291.5,63,38,4.8,PT,1680554620
112,eatonton,33.3268,-83.3885,292.04,83,100,2.31,US,1680554455
113,arraial do cabo,-22.9661,-42.0278,299.13,65,40,4.63,BR,1680554620
114,ayagoz,47.9714,80.4392,270.68,38,0,7.53,KZ,1680554620
115,ucluelet,48.9329,-125.5528,281.32,74,5,1.34,CA,1680554620
116,khatanga,71.9667,102.5,246.23,96,98,4.37,RU,1680554621
117,turkan,40.3639,50.215,280.25,93,40,2.06,AZ,1680554621
118,kavieng,-2.5744,150.7967,300.48,76,100,1.88,PG,1680554621
119,anadyr,64.75,177.4833,247.59,75,0,3.0,RU,1680554621
120,tigil,57.8,158.6667,264.85,88,100,1.05,RU,1680554621
121,lao cai,22.4833,103.95,296.27,69,62,0.47,VN,1680554622
122,san andres,12.5847,-81.7006,304.16,58,20,6.17,CO,1680554622
123,sioux lookout,50.1001,-91.917,270.19,50,40,3.6,CA,1680554448
124,laguna,38.421,-121.4238,287.75,30,0,7.72,US,1680554593
125,okhotsk,59.3833,143.3,261.9,90,100,2.59,RU,1680554622
126,thompson,55.7435,-97.8558,262.24,48,20,1.03,CA,1680554622
127,nishihara,26.1842,127.7558,293.18,64,40,6.69,JP,1680554623
128,dongsheng,39.8161,109.9776,273.0,99,100,5.37,CN,1680554623
129,bakov nad jizerou,50.4823,14.9415,275.28,63,3,1.93,CZ,1680554623
130,hobyo,5.3505,48.5268,301.46,72,35,6.48,SO,1680554623
131,camacha,33.0833,-16.3333,288.83,67,40,9.26,PT,1680554623
132,tilichiki,60.4667,166.1,260.84,93,100,5.09,RU,1680554623
133,ankazoabo,-22.2833,44.5167,294.75,85,1,0.86,MG,1680554624
134,codrington,-38.2667,141.9667,283.52,91,49,1.67,AU,1680554624
135,kipini,-2.5257,40.5262,301.31,79,35,4.81,KE,1680554625
136,tateyama,34.9833,139.8667,283.44,62,0,4.68,JP,1680554625
137,mahebourg,-20.4081,57.7,298.85,88,20,1.54,MU,1680554625
138,biltine,14.5333,20.9167,303.87,14,12,1.97,TD,1680554625
139,portland,45.5234,-122.6762,282.38,78,75,3.6,US,1680554014
140,eureka,40.8021,-124.1637,282.7,74,94,4.02,US,1680554625
141,jalu,29.0331,21.5482,292.2,31,0,3.69,LY,1680554625
142,jamestown,42.097,-79.2353,290.95,39,0,8.23,US,1680554549
143,longyearbyen,78.2186,15.6401,261.06,72,100,9.77,SJ,1680554626
144,nelson bay,-32.7167,152.15,292.59,97,99,4.47,AU,1680554626
145,vestmannaeyjar,63.4427,-20.2734,281.51,95,100,14.39,IS,1680554626
146,yellowknife,62.456,-114.3525,263.44,57,75,0.0,CA,1680554626
147,pierre,44.3683,-100.351,276.96,62,0,3.09,US,1680554626
148,ixtapa,20.7,-105.2,298.72,69,20,6.17,MX,1680554627
149,salinas,36.6777,-121.6555,288.7,52,0,10.29,US,1680554612
150,coruripe,-10.1256,-36.1756,299.53,76,100,3.47,BR,1680554545
151,katsuura,35.1333,140.3,283.39,65,0,4.78,JP,1680554436
152,saratoga springs,43.0831,-73.7846,290.88,33,87,2.68,US,1680554375
153,makakilo city,21.3469,-158.0858,299.33,67,0,5.14,US,1680554627
154,saint george,37.1041,-113.5841,290.48,23,20,14.4,US,1680554627
155,kuminskiy,58.6667,66.5667,271.88,97,99,1.05,RU,1680554627
156,itupeva,-23.1531,-47.0578,301.0,51,20,4.12,BR,1680554627
157,basco,20.4487,121.9702,296.87,66,8,8.6,PH,1680554627
158,biak,-0.9131,122.8766,296.94,91,100,2.27,ID,1680554628
159,kurilsk,45.2333,147.8833,273.31,59,40,1.23,RU,1680554628
160,flin flon,54.7682,-101.865,264.06,41,20,3.09,CA,1680554628
161,lompoc,34.6391,-120.4579,288.58,53,20,12.86,US,1680554628
162,landeck,47.1301,10.5636,276.56,99,100,0.59,AT,1680554628
163,saint anthony,45.0205,-93.218,279.82,59,0,5.14,US,1680554629
164,nuevo progreso,23.1667,-97.95,302.53,55,95,3.58,MX,1680554629
165,hithadhoo,-0.6,73.0833,301.04,74,100,5.14,MV,1680554629
166,klaksvik,62.2266,-6.589,281.66,90,100,10.96,FO,1680554629
167,puerto ayora,-0.7393,-90.3518,304.13,88,100,3.13,EC,1680554630
168,koslan,63.4564,48.8989,264.17,90,25,3.49,RU,1680554630
169,ancud,-41.8697,-73.8203,287.2,73,6,2.69,CL,1680554630
170,port alfred,-33.5906,26.891,291.03,84,57,3.13,ZA,1680554630
171,caravelas,-17.7125,-39.2481,297.56,81,100,4.05,BR,1680554630
172,port hedland,-20.3167,118.5667,299.18,89,10,2.57,AU,1680554630
173,kysyl-syr,63.8986,122.7617,261.33,99,100,1.33,RU,1680554630
174,forrest city,35.0081,-90.7898,296.73,83,99,4.94,US,1680554405
175,georgetown,5.4112,100.3354,298.12,94,20,0.0,MY,1680554592
176,port lincoln,-34.7333,135.8667,290.75,73,37,2.42,AU,1680554630
177,namatanai,-3.6667,152.4333,299.71,78,99,1.52,PG,1680554631
178,husavik,66.0449,-17.3389,276.44,94,100,4.33,IS,1680554631
179,havre-saint-pierre,50.2334,-63.5986,270.35,68,0,11.32,CA,1680554631
180,tondano,1.3038,124.9112,293.2,92,91,1.09,ID,1680554631
181,yerbogachen,61.2767,108.0108,267.56,94,100,5.92,RU,1680554632
182,port-gentil,-0.7193,8.7815,300.53,77,100,3.24,GA,1680554632
183,umm lajj,25.0213,37.2685,297.15,43,31,2.72,SA,1680554632
184,meulaboh,4.1363,96.1285,297.56,88,94,1.99,ID,1680554632
185,bathsheba,13.2167,-59.5167,301.49,65,75,7.72,BB,1680554632
186,ulladulla,-35.35,150.4667,283.58,83,44,1.68,AU,1680554632
187,cape town,-33.9258,18.4232,290.99,85,20,1.03,ZA,1680554400
188,mikuni,36.2171,136.1519,278.1,77,4,1.81,JP,1680554632
189,kaitangata,-46.2817,169.8464,286.42,74,64,2.96,NZ,1680554632
190,xichang,27.8964,102.2634,283.98,59,0,0.74,CN,1680554632
191,nacala,-14.5428,40.6728,296.34,97,81,3.19,MZ,1680554633
192,anzio,41.4853,12.6179,285.93,60,100,2.7,IT,1680554633
193,sinazongwe,-17.2614,27.4618,296.51,67,39,1.08,ZM,1680554633
194,assiniboia,49.6334,-105.9845,265.05,62,100,3.09,CA,1680554633
195,pisco,-13.7,-76.2167,301.18,69,0,9.26,PE,1680554633
196,tazovskiy,67.4667,78.7,245.46,97,38,4.05,RU,1680554633
197,esperance,-33.8667,121.9,291.88,84,98,2.46,AU,1680554633
198,hanna,51.6334,-111.9018,268.63,82,100,3.13,CA,1680554633
199,nantucket,41.2835,-70.0995,283.23,68,0,7.72,US,1680554634
200,rawson,-43.3002,-65.1023,294.36,29,0,1.73,AR,1680554419
201,ouango,4.3133,22.5552,295.95,85,91,0.76,CF,1680554634
202,tuatapere,-46.1333,167.6833,285.48,81,79,1.82,NZ,1680554634
203,ondangwa,-17.9167,15.95,297.51,50,41,3.26,NA,1680554634
204,nybro,56.7446,15.9071,270.95,83,25,1.61,SE,1680554634
205,yulara,-25.2406,130.9889,294.8,42,93,3.07,AU,1680554635
206,bonfim,3.0833,-59.95,309.71,24,55,4.14,BR,1680554635
207,port macquarie,-31.4333,152.9167,288.65,93,21,3.19,AU,1680554599
208,general jose eduvigis diaz,-27.1667,-58.4167,306.17,22,39,1.22,PY,1680554635
209,cascais,38.6979,-9.4215,288.85,79,20,5.36,PT,1680554635
210,itarema,-2.9248,-39.9167,298.63,81,77,2.51,BR,1680554635
211,rio grande,-32.035,-52.0986,298.21,67,68,4.52,BR,1680554635
212,sarangani,5.4033,125.4636,300.12,76,89,0.92,PH,1680554636
213,fiche,9.8,38.7333,285.33,73,95,0.33,ET,1680554636
214,wahiawa,21.5028,-158.0236,298.33,72,9,3.57,US,1680554636
215,tuktoyaktuk,69.4541,-133.0374,255.15,71,75,0.0,CA,1680554636
216,derzhavinsk,51.1,66.3167,278.35,58,10,3.95,KZ,1680554636
217,aranos,-24.1333,19.1167,295.08,26,15,5.34,NA,1680554636
218,adrar,20.5022,-10.0711,299.55,6,0,1.87,MR,1680554636
219,isangel,-19.55,169.2667,300.89,79,44,2.9,VU,1680554636
220,mount isa,-20.7333,139.5,294.02,30,30,3.6,AU,1680554637
221,vila do maio,15.1333,-23.2167,299.59,83,48,5.97,CV,1680554637
222,norman wells,65.282,-126.8329,269.17,80,75,1.03,CA,1680554637
223,mayo,38.8876,-76.5119,296.45,59,0,8.23,US,1680554569
224,grand gaube,-20.0064,57.6608,298.92,74,99,5.65,MU,1680554637
225,yar-sale,66.8333,70.8333,253.44,87,13,7.21,RU,1680554637
226,constitucion,-35.3333,-72.4167,291.65,58,100,6.87,CL,1680554637
227,castro,-24.7911,-50.0119,292.59,72,2,0.64,BR,1680554637
228,nhulunbuy,-12.2333,136.7667,299.49,94,100,0.0,AU,1680554638
229,los llanos de aridane,28.6585,-17.9182,291.55,85,20,8.23,ES,1680554638
230,kahului,20.8947,-156.47,298.06,76,75,5.14,US,1680554638
231,ampanihy,-24.7,44.75,295.84,86,53,3.46,MG,1680554638
232,tual,-5.6667,132.75,300.35,77,100,4.72,ID,1680554638
233,aklavik,68.2191,-135.0107,263.51,82,83,0.99,CA,1680554638
234,mitsamiouli,-11.3847,43.2844,300.61,75,52,2.08,KM,1680554639
235,valdemarpils,57.3707,22.5919,272.02,71,16,4.76,LV,1680554639
236,dangtu,31.5723,118.4928,287.18,92,100,4.42,CN,1680554639
237,alice springs,-23.7,133.8833,289.9,94,75,0.0,AU,1680554639
238,nanortalik,60.1432,-45.2371,274.94,84,100,1.59,GL,1680554639
239,hantsport,45.0668,-64.1654,281.07,36,78,2.68,CA,1680554639
240,safaga,26.7292,33.9365,297.3,35,75,1.62,EG,1680554639
241,gravelbourg,49.8834,-106.5512,265.3,86,100,3.31,CA,1680554639
242,inhambupe,-11.7844,-38.3531,298.95,69,76,4.98,BR,1680554640
243,sungaipenuh,-2.0833,101.3833,290.26,96,95,0.37,ID,1680554640
244,harper,4.375,-7.7169,299.65,85,40,2.98,LR,1680554640
245,manokwari,-0.8667,134.0833,298.92,79,100,0.78,ID,1680554640
246,paamiut,61.994,-49.6678,274.81,84,100,3.77,GL,1680554640
247,buraydah,26.326,43.975,291.4,16,8,4.28,SA,1680554640
248,mar del plata,-38.0023,-57.5575,292.56,70,75,2.06,AR,1680554544
249,cabo san lucas,22.8909,-109.9124,304.32,30,100,5.14,MX,1680554641
250,tabory,58.5198,64.5495,275.43,90,70,0.72,RU,1680554641
251,naryan-mar,67.6713,53.087,258.69,96,10,3.51,RU,1680554641
252,saldanha,-33.0117,17.9442,287.18,88,12,3.09,ZA,1680554641
253,kitim,32.4383,35.8956,289.44,27,0,6.39,JO,1680554641
254,san matias,-16.3667,-58.4,301.75,72,30,2.24,BO,1680554642
255,palmer,42.1584,-72.3287,287.36,36,20,9.26,US,1680554642
256,flinders,-34.5833,150.8552,288.81,87,34,0.89,AU,1680554642
257,east london,-33.0153,27.9116,292.16,70,37,7.43,ZA,1680554642
258,bonanza,14.0289,-84.591,307.31,28,39,3.11,NI,1680554642
259,dali,25.7,100.1833,280.65,83,9,2.56,CN,1680554642
260,corinto,37.9407,22.9573,287.53,85,64,2.19,GR,1680554643
261,sayyan,15.1718,44.3244,287.57,70,29,0.68,YE,1680554643
262,saurimo,-9.6608,20.3916,292.64,92,93,1.16,AO,1680554645
263,kinablangan,7.6947,126.5503,298.16,86,96,3.6,PH,1680554646
264,saskylakh,71.9167,114.0833,251.13,97,97,5.13,RU,1680554646
265,oranjemund,-28.55,16.4333,289.05,85,0,6.33,NA,1680554646
266,road town,18.4167,-64.6167,301.2,57,40,5.14,VG,1680554646
267,talnakh,69.4865,88.3972,239.51,99,66,2.37,RU,1680554646
268,grindavik,63.8424,-22.4338,282.12,100,100,14.92,IS,1680554647
269,ilulissat,69.2167,-51.1,264.16,73,40,8.75,GL,1680554647
270,acapulco,16.8634,-99.8901,304.05,55,40,5.66,MX,1680554622
271,hervey bay,-25.2986,152.8535,294.25,88,68,5.54,AU,1680554647
272,guhagar,17.4842,73.1929,295.37,88,8,2.17,IN,1680554647
273,kavarna,43.4333,28.3333,282.83,82,100,6.94,BG,1680554647
